author,title,language,token_list_length,node_count,edge_count,average_degree,median_degree,diameter,average_distance,betweenness_min,betweenness_max,betweenness_average,betweenness_standard_deviation,average_clustering,powerlaw_alpha_value,powerlaw_xmin_value,stopwords_removed,link_distance
Nietzsche,Menschliches,en,87725,5872,41434,14.1123978201635,4,14,2.64284002047658,0,0.221674153901071,0.000279870531597373,0.00477986799031004,0.527620814878027,2.26806352352082,28,False,1
Kafka,Verwandlung,de,18763,2854,11742,8.22845129642607,2,6,2.86210902795739,0,0.318551085376039,0.000652913403912129,0.007651706915797,0.359502783407579,2.16304210298272,11,False,1
Nietzsche,Goetzen,en,29949,3689,16970,9.20032529140689,2,12,2.80926248464539,0,0.223718396885926,0.000490713990953455,0.00621760473165097,0.421813630283417,2.2417882681659,16,False,1
Austen,Verstand,de,111599,6847,49589,14.4848838907551,4,9,2.68587772617481,0,0.216238899428271,0.000246293312808591,0.00403769167713889,0.502747846290984,2.28911368724556,46,False,1
Austen,Anna,de,75336,5320,34991,13.1545112781955,3,9,2.70198260739271,0,0.261005410768305,0.000320041859231423,0.00494087975699618,0.495512415343882,2.20934179443355,36,False,1
Kafka,Amerika,en,96433,5059,38950,15.3983000593003,4,6,2.63799346438792,0,0.169359460318462,0.000323906162623674,0.00429341329520501,0.547942041885137,2.21587469030066,41,False,1
Austen,Mansfield,en,157674,5300,54569,20.5920754716981,4,5,2.497971778228,0,0.183996598367131,0.000282742879997736,0.00431979033925819,0.632532295660588,2.21005186346967,43,False,1
Kafka,Schloss,de,105330,7086,47794,13.4896979960485,3,5,2.7080833896532,0,0.290401478393995,0.000241118490916601,0.00430978434700062,0.506740032680155,2.0423412607124,12,False,1
Nietzsche,Zarathustra,en,90074,5573,39474,14.166158263054,4,7,2.64994662631555,0,0.264630073610927,0.000296167048342407,0.00468850642835442,0.560902854432473,2.09797195268393,22,False,1
Austen,Mansfield,de,152938,9395,67376,14.3429483767962,4,6,2.69706482107916,0,0.233403358973548,0.000180673354740675,0.00353903080375572,0.491952831587093,2.25804205342125,85,False,1
Kafka,Amerika,de,87050,7108,42468,11.9493528418683,2,6,2.75116660763651,0,0.304961716480725,0.000246434929304322,0.00446938602071549,0.470611127034606,2.05988532509451,8,False,1
Nietzsche,Menschliches,de,79944,8547,43763,10.2405522405522,2,17,2.78930880147824,0,0.373724403707016,0.000209398338382474,0.00480645145320046,0.465812554810296,2.23152276627133,49,False,1
