author,title,language,token_list_length,node_count,edge_count,average_degree,median_degree,diameter,average_distance,betweenness_min,betweenness_max,betweenness_average,betweenness_standard_deviation,average_clustering,powerlaw_alpha_value,powerlaw_xmin_value,lin_reg_approximation,assortativity_coefficient,stopwords_removed,link_distance,fixed_token_count
Hesse,Demian,de,13062,3685,23169,12.574762550882,4,7,3.08656274446541,0,0.0655200326814458,0.000566538893419879,0.00320589586074553,0.416112448138311,2.23892072802003,14,0.0244327391840334,-0.0770353664861706,True,2,13062
Nietzsche,Jenseits,de,13062,4195,22920,10.927294398093,4,7,3.13558946517046,0,0.173784099695941,0.000509322553105285,0.00477004321770555,0.434464454250805,2.42796646258462,18,-0.185589524402088,-0.0894130424206439,True,2,13062
Hesse,Demian,en,13062,2818,22011,15.6217175301632,7,5,2.91298294623563,0,0.100419058661321,0.000679326330339358,0.00361236455303484,0.404837226011373,2.65597559889595,39,0.0415760051510547,-0.0808476009425607,True,2,13062
Nietzsche,Goetzen,de,13062,4076,22751,11.1633954857704,4,8,3.12274309590179,0,0.138305965404659,0.000521046415292536,0.00438244587112706,0.437005706724565,2.8810818075278,53,-0.19542534037811,-0.0955351309987142,True,2,13062
Kafka,Amerika,en,13062,2743,20019,14.5964272694131,4,6,2.7924450886588,0,0.264332566292567,0.000653938376015617,0.00613523530996992,0.46253071364084,2.56114932900798,34,0.0609863606443364,-0.124055274392093,True,2,13062
Kafka,Schloss,en,13062,2354,18647,15.8428207306712,5,5,2.71753624596089,0,0.278877664987305,0.00073024500253439,0.00699348312120641,0.464011166209574,3.02263450003372,65,-0.0094392370274955,-0.128399941324306,True,2,13062
Austen,Verstand,en,13062,2380,21303,17.9016806722689,8,5,2.77711205541485,0,0.22147009837323,0.000747313732302293,0.00533254309784779,0.385952715503242,3.19559163830434,73,0.0482245097856573,-0.094620460651815,True,2,13062
Hesse,Steppenwolf,en,13062,3549,23714,13.3637644406875,4,6,3.10571598204934,0,0.0728088142900564,0.000593661117014194,0.00291192239131113,0.379021321317404,2.42534877491125,19,0.0953988898561344,-0.0342289321261897,True,2,13062
Nietzsche,Zarathustra,en,13062,2725,19928,14.6260550458716,4,6,2.84672567325439,0,0.117141917709853,0.000678195252755927,0.00434498678737294,0.469253820346772,2.31860442362431,22,-0.185589690269545,-0.140561580499672,True,2,13062
Nietzsche,Menschliches,de,13062,4027,23797,11.8187236155947,4,11,3.18830852500712,0,0.214395559368009,0.000543679136647732,0.00428625109470586,0.410130855666201,2.37007900507051,15,-0.0191349959304478,-0.0637842514341451,True,2,13062
Austen,Stolz,de,13062,3280,22067,13.455487804878,4,6,2.94240231629215,0,0.151154645426226,0.000592557143469234,0.00485883994532257,0.416053637485939,2.94948444080255,67,0.369346861097616,-0.108897072292539,True,2,13062
Austen,Anna,en,13062,2672,22197,16.6145209580838,7,6,2.88483926942072,0,0.0673554754223748,0.000705932310644466,0.00346769250077455,0.402690060366765,2.63934753627388,44,0.319223021767565,-0.0890896384334965,True,2,13062
Kafka,Amerika,de,13062,3495,21384,12.2369098712446,4,7,2.92093112001526,0,0.163216541000913,0.000549937337536577,0.00487094934223906,0.464678608874883,2.4734256567404,27,0.0221749146003527,-0.141771164108723,True,2,13062
Austen,Verstand,de,13062,3314,22327,13.4743512371756,4,11,3.04223664170389,0,0.150795010339299,0.000616617343509629,0.00437012526634772,0.404667932490518,2.89692490408822,56,0.244978427299575,-0.103095428450301,True,2,13062
Kafka,Prozess,en,13062,1971,18880,19.1577879249112,8,5,2.69170845276818,0,0.106387801540163,0.000859171382817768,0.00491149560806623,0.452511637695288,2.7783220287236,51,0.314899373990001,-0.150487512691425,True,2,13062
Austen,Mansfield,en,13062,2383,21172,17.7691984892992,7,6,2.81136041643985,0,0.0805409948201977,0.00076075615978154,0.00383246857237415,0.414475713591246,2.58476780142074,39,0.473945865938404,-0.11019226147452,True,2,13062
Nietzsche,Goetzen,en,13062,3404,22307,13.1063454759107,4,7,3.01507897400269,0,0.234219834076695,0.000592321861846763,0.00484564639816471,0.41181297743946,3.49724523878968,122,-0.204439437819357,-0.0797280713164794,True,2,13062
Nietzsche,Geburt,en,13062,3597,23617,13.131498470948,4,7,3.13972216990862,0,0.105477831024334,0.00059519392765191,0.00320344419974745,0.386858534321579,2.48707087660604,23,0.0972689328555225,-0.0493941827499675,True,2,13062
Hesse,Siddhartha,de,13062,3026,20991,13.8737607402512,4,6,2.98027715719959,0,0.146848659343887,0.000654853557274996,0.00434688061686417,0.434685331416229,2.23226155786725,11,-0.220809175911441,-0.0876225744893436,True,2,13062
Hesse,Camenzind,en,13062,3897,23936,12.2843212727739,4,6,3.17953208886528,0,0.0992016612983823,0.000559571781480175,0.0032911156431739,0.381449483884931,2.59670505200856,24,0.064959901715291,-0.0467403986346865,True,2,13062
Hesse,Camenzind,de,13062,4674,24461,10.466837826273,4,8,3.32403355761175,0,0.0900483732584045,0.00049743868955731,0.00305722808977811,0.403235106873222,2.8955685765506,43,0.151005461931609,-0.0550687385177617,True,2,13062
